,th0,th1,th2,th3,thp0,thp1,thp2,thp3,ng0,ng1,ng2,ng3,acceptProb,loglikelihood,acceptflag
697,0.180386448805,0.925358522303,0.245113266977,1.82927286569,-0.00852247742032,0.872103501091,0.269779361915,1.88216679844,0.0,0.0,0.0,0.0,0.000942534495097,-427.780036009,0.0
698,0.341257924703,0.934052158524,0.14864353186,1.64451245742,0.341257924703,0.934052158524,0.14864353186,1.64451245742,0.0,0.0,0.0,0.0,0.86633590062,-428.527081628,1.0
699,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.0,0.0,0.0,0.0,0.874853533817,-427.981403556,1.0
700,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.773839697096,0.94544107214,0.168109994956,1.64017668315,0.0,0.0,0.0,0.0,0.0043483096676,-427.981403556,0.0
701,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.748374565264,0.941951209534,0.410484952619,1.7827021385,0.0,0.0,0.0,0.0,0.000361052091152,-427.981403556,0.0
702,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.530915037716,1.01368446401,0.260588751067,1.47759588317,0.0,0.0,0.0,0.0,0.0,-427.981403556,0.0
703,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.47182028308,0.899396903562,0.0347683526232,1.58382096707,0.0,0.0,0.0,0.0,0.00127595718855,-427.981403556,0.0
704,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.203222691953,0.97363085591,0.324259242333,1.66280256814,0.0,0.0,0.0,0.0,0.344374824292,-427.981403556,0.0
705,0.44579156702,0.918953693901,0.183733166936,1.64673870695,0.205614572884,0.921944065365,-0.00335358969326,1.35891252397,0.0,0.0,0.0,0.0,0.0,-427.981403556,0.0
706,0.562784647385,0.955738484869,0.207030700057,1.60325012863,0.562784647385,0.955738484869,0.207030700057,1.60325012863,0.0,0.0,0.0,0.0,0.424778192596,-427.3252067,1.0
707,0.562784647385,0.955738484869,0.207030700057,1.60325012863,0.723973269284,0.971438204886,0.378117138219,1.68215608382,0.0,0.0,0.0,0.0,0.000271569618827,-427.3252067,0.0
708,0.562784647385,0.955738484869,0.207030700057,1.60325012863,0.795930556326,0.950845716268,0.387928669319,1.52152741287,0.0,0.0,0.0,0.0,5.56604692477e-05,-427.3252067,0.0
709,0.531177172984,0.924676889635,0.236902232242,1.65846106495,0.531177172984,0.924676889635,0.236902232242,1.65846106495,0.0,0.0,0.0,0.0,2.26014341135,-427.067398733,1.0
710,0.531177172984,0.924676889635,0.236902232242,1.65846106495,0.741770393245,0.84047745739,0.322707556637,1.72322482548,0.0,0.0,0.0,0.0,0.00200710498202,-427.067398733,0.0
711,0.531177172984,0.924676889635,0.236902232242,1.65846106495,0.466374900159,0.938776116304,0.221685271654,1.90556614953,0.0,0.0,0.0,0.0,0.212195557103,-427.067398733,0.0
712,0.410091790241,0.915604444221,0.192782822667,1.73297110605,0.410091790241,0.915604444221,0.192782822667,1.73297110605,0.0,0.0,0.0,0.0,4.82877885486,-425.980998839,1.0
713,0.410091790241,0.915604444221,0.192782822667,1.73297110605,0.32387756407,0.965803234992,0.341907020936,1.60913281576,0.0,0.0,0.0,0.0,0.0105629842076,-425.980998839,0.0
714,0.410091790241,0.915604444221,0.192782822667,1.73297110605,0.546361837088,0.923166876123,0.189511788377,1.53225256444,0.0,0.0,0.0,0.0,0.552873142716,-425.980998839,0.0
715,0.410091790241,0.915604444221,0.192782822667,1.73297110605,0.387965654543,0.827480198163,0.300210687109,1.71566476764,0.0,0.0,0.0,0.0,0.0463035115198,-425.980998839,0.0
716,0.410091790241,0.915604444221,0.192782822667,1.73297110605,0.969017460962,0.848623691889,0.227783513253,1.55937864961,0.0,0.0,0.0,0.0,1.38662593953e-09,-425.980998839,0.0
